"addon"
{
	"DOTA_GoodGuys"   								"Good Guys"
	"npc_dota_hero_templar_assassin_hype"	"Wanda and her twin brother were born Pietro Wundagore mountain-based genetic research known as High Evolyutsionary, under the influence of natural energy Chthon Elder God: their mother, Magda, shortly after their birth ran off with Wundagore. Though it is unknown at what point, but the magic Chthon concluded an agreement with Wanda, which, as it became known later, was intended to serve as a liaison Creatures living mystical point of concentration of energy in the Earth dimension."		
	"npc_dota_hero_terrorblade_hype"		"Galactus - a surviving soul of the universe that existed before the Big Bang, and possibly the worst thing in the creation of the cosmos."		
	"npc_dota_hero_tidehunter_hype"			"During an experimental gamma bomb explosion scientist Bruce Banner rushed to rescue the teenager, who arrived at the test site. Pitting boy Rick Jones, in the trench, he Benner turned in the explosion, received a massive dose of radiation. Later, he woke up in the hospital, it seemed relatively unscathed, but the night was transformed into a bulky gray uniform, kicked the wall and fled."		
	"npc_dota_hero_shredder_hype"			"ter all the boy's family, known as Khan, was killed with him to contact the Spirit of Wind came, and gave capacity in exchange for the service itself."
	"npc_dota_hero_treant_hype"			    "Groote - extraterrestrial monster that originally came to Earth and tried to grab people for experiments."
	"npc_dota_hero_troll_warlord_hype"	    "Ronan prosecutor - one of the many who want to find a mysterious Orb. As a representative of the Kree Empire, he continues to battle in the long war with the planet Ksandar, citing personal vendetta generations of his ancestors, and ignoring the recent prisoner peace treaty. He made a deal with Thanos: Sphere to get him in exchange for the complete destruction of Ksandar."
	"npc_dota_hero_tusk_hype"			    "According grown with dreams of adventures, hoping one day to become a legend of kung-fu, the same as the Furious Five, who idolized. However, he did not think he could fulfill a dream, because it was not the most athletic panda working in the Noodle Shop."	
	"npc_dota_hero_undying_hype"		    "In August 1959, searching watch his girlfriend Jenny Slater, he accidentally fell into the test lab capsule. The test capsule disappeared its natural shape, and Jonathan was broken down into tiny particles. During November 1959 particles of which consisted of Jonathan, slowly began to come together, and by November 22 is fully reunited."		
	"npc_dota_hero_vengefulspirit_hype"	    "Marian grew up in a poor family in one of the southern US states. When her father was drunk, then he stuck to it. One day, when he tried to touch her, she took his vital energy."
	"npc_dota_hero_venomancer_hype"		    "Venom symbiote is a creature of the race of alien parasites that live at the expense of the bodies of other life forms. Parasites provide their owners improved mobility, instead of drinking them adrenaline. With prolonged use, untrained man can kill his symbiote."
	"npc_dota_hero_viper_hype"			    "Ebony Maw, also known as Wall-Adam, was the first person to receive the power of Shazam. Born in Egypt in the time of the pharaoh Ramses II. It has survived a lot of different stories about Adam's life and how he became so. But there is only one truth."	
	"npc_dota_hero_visage_hype"			    "Long ago, the world subsoil rules Firelord and his brethren. Terrible servant of the Old Gods, Ragnaros fought with the Titans for control of the planet. The price of defeat for the elemental lord was perpetual imprisonment in the Elemental Plane. Ragnaros fought Tanderaanom, Heavenly Prince, and defeated him, but could not destroy."	
	"npc_dota_hero_weaver_hype"			    "Eobard Towne was born in the XXV century and was a big fan of the superhero Flash XX century. Becoming a scientist, he invented an electrochemical bath, similar to the one that once gave first flash capacity, and got them, and inventing a time machine to go to the XX century and to meet his idol. But in the course of time travel was damaged his mind, and he began to consider himself Barry Allen, Allen and present - an impostor."
	"npc_dota_hero_windrunner_hype"		    "One of the most powerful beings in the universe. In Death has one of the highest limits of force in the Marvel Universe, like Eternity, Infinity and Oblivion. She worships and loves her Thanos."
	"npc_dota_hero_skeleton_king_hype"	    "The Lich King is the lord and master of the Scourge, which he ruled telepathically from his Frozen Throne, standing at the top of Icecrown Citadel. Kil'jaeden Lich King created from the spirit of the orc shaman Ner'zhul, so he raised an army of undead and won Azeroth for the Burning Legion. Initially imprisoned in the trap of the Frozen Throne with Frostmourne, King - Leach finally betrayed Kil'jaeden and teamed up with a man Arthas Menethil."
	"npc_dota_hero_arc_warden_hype"			 "Eternity is ubiquitous abstract entity that represents the time. It is closely related with the Infinite, with which they embody the universe itself. It goes without power over the reality of such creatures is almost unlimited, within their sphere of influence. of which have a total power."
	"npc_dota_hero_abyssal_underlord_hype"	"Source (Overvoid, Primal - monitor overmonitor) - aspect of The Presence, is a like any other, one side of God. For example voice fulfills the desires of the people in prayer, hand created the universe, Wally, Yahweh, and Grant Morrison embody the presence and source embodying the mind of God. In the overvoyde can be anything you want, how much it was not limitless."
	"npc_dota_hero_zuus_hype"			 "No one is saved from the wrath of Zeus. It uses lightning to explore the next area to be taking charge of electricity, prancing on multiple enemies, or encourages horrendous lightning barrage on all enemies at once. Zeus will find enemies, wherever they may be."
	"npc_dota_hero_gyrocopter_hype"			 "Mutant German origin, Nightcrawler possesses superhuman agility and the ability to teleport."
	"npc_dota_hero_bounty_hunter_hype"			 "The whole culture of predators associated with hunting and prosecution of dangerous animals in a variety of worlds. Predators said: Lizards (Aliens) - is a worthy opponent, they have no fear."
	"npc_dota_hero_warlock_hype" 	"Franklin - mutant outside Omega-level categories, having the ability of curvature of reality and psionic powers."
	"new_npc_dota_hero_warlock_hype" 	"Franklin - mutant outside Omega-level categories, having the ability of curvature of reality and psionic powers."
	"new_npc_dota_hero_bristleback"      "Davy Jones"
	"new_npc_dota_hero_bristleback_hype"		 "Davy Jones' has a large arsenal of supernatural abilities at his disposal. Though normally relying on the strength of his crew, ship, and the Kraken, Jones has proven quite powerful on his own. Jones is practically immortal, capable of surviving injuries that would be fatal to mortals."
	"npc_dota_hero_bristleback_hype"		 "Davy Jones' has a large arsenal of supernatural abilities at his disposal. Though normally relying on the strength of his crew, ship, and the Kraken, Jones has proven quite powerful on his own. Jones is practically immortal, capable of surviving injuries that would be fatal to mortals."
	"npc_dota_hero_shadow_shaman_hype"			 "He is able to concentrate his own chi and the superhuman energy from Shou-Lao's heart into his hand, with it manifesting as a supernatural glow around his hand and fist. So concentrated, this iron fist can strike with superhuman hardness and impact, while his hand becomes impervious to pain and injury. However, summoning the power required by this feat leaves Rand physically and mentally drained, unable to repeat the act for a time, as long as an entire day in certain instances, though after years of using the ability, it has become less draining."
	"npc_dota_hero_disruptor"         	"Nurgle"
	"new_npc_dota_hero_disruptor"        "Nurgle"
	
	"thor_sulfuras"						"Sulfuras"

	"new_npc_dota_hero_disruptor_hype"		"Nurgle, also known as the Plague Lord, is the Chaos God of Disease, Decay, and Destruction. In particular, the emotion of despair in mortals empowers him. He is known also as Grandfather Nurgle, the Lord of Pestilence and the Lord of Decay."
	"npc_dota_hero_disruptor_hype"			"Nurgle, also known as the Plague Lord, is the Chaos God of Disease, Decay, and Destruction. In particular, the emotion of despair in mortals empowers him. He is known also as Grandfather Nurgle, the Lord of Pestilence and the Lord of Decay."


	"DOTA_Profile"						"PROFILE"
	"DOTA_Guides"						"GUIDES"
	"DOTA_Quests"						"QUESTS"
	"DOTA_Inventory"					"INVENTORY"

	"silver_0"							"Calibration"
	"silver_1"							"Private"
	"silver_2"							"Private - II"
	"silver_3"							"Private - First Class"
	"silver_4"							"Specialist"
	"silver_5"							"Sergeant"
	"silver_6"							"Staff Sergeant"

	"nova_1"							"Sergeant - First Class"
	"nova_2"							"Second Lieutenant"
	"nova_3"							"First Lieutenant"
	"nova_4"							"Major Lieutenant"

	"master_1"							"Master"
	"master_2"							"Major Master"
	"master_3"							"Master - First Class"
	"master_4"							"Distinguished Great Master"

	"eagle_1"							"Sentinel"
	"eagle_2"							"Grand Sentinel"
	
	"general_master_1"					"Colonel General"
	"general_master_2"					"General - Sentinel"

	"supreme_master_1"					"General Field Marshal"
	"supreme_master_2"					"Deserved Grand-Master"

	"games_played"						"Games played: "

	"veteran_1"							"Veteran"
	"veteran_2"							"Risen from the Ashes"
	"veteran_3"							"Prestige"
	"veteran_4"							"Arthas, my son.."
	"veteran_5"							"Valeria - Phoenix"
	"veteran_6"							"Legion"
	"veteran_9"							"S.W.A.G"
	"veteran_10"						"From now on ... we are united!"
	"prom"								"PROMOTED"

	"DOTA_RatingSystemInfo"					"Calibration"

	"DOTA_RatingSystemInfo"					"RATING SYSTEM"
	"DOTA_RatingSystemInfo_header_1"		"What affects the calibration?"
	"DOTA_RatingSystemInfo_1"				"We spread the game to the full, but remember that it does not matter for what role you play, what matters is how you useful to your teammates."
	"DOTA_RatingSystemInfo_header_2"		"More information:"
	"DOTA_RatingSystemInfo_2"				"Rating does not affect the selection of games, but it out on the chance of premium drop, as well as it show your level of play and displays it to all players. Remember, disconnect is punishable by instant removal of rank and down. Play carefully, farm creeps and kills your enemies, or help your teammates. Remember, ranking only in your hands, just get it, reset it never happens."

	"DOTA_RatingSystemText1"				"Play the most well."
	"DOTA_RatingSystemText2"				"Play to the end and get the rank."
	"DOTA_RatingSystemText3"				"The maximum rank, this - the Grand Sentinel"
	"DOTA_RatingSystemText4"				"Glory to all, how well you play the game!"

	"DOTA_EventName"					"The Winter Oblivion Event"
	"DOTA_EventName_header_1"			"INFO: "
	"DOTA_EventName_info_1"			"Lich King has awakened! He is on the hunt, and only the brave heroes of Radiant and Dire will be able to stop it!"
	"DOTA_EventName_info_2"			"First, the Lich King will be immune, but killing all the heroes, or some time later, the Lich King will try to escape! Kill him! The special event will last until February 23."

	"DOTA_EventText1"				"Start the battle with himself the leader of the Scourge!"
	"DOTA_EventText2"				"Team up with the enemies in the face of threat that have not yet faced the world!"
	"DOTA_EventText3"				"Defeat the Lich King!"
	"DOTA_EventText4"				"Get incredibly rare set on the Arthas and unique medal, while a special event not over!"

	"npc_dota_lich_king"															  "Lich King"
	"npc_dota_creature_boss_pudge"													  "Butcher"
	"npc_dota_creature_berserk_zombie"												  "Undead"

	"DOTA_Sargeras_Gorshalach"				"Gorshalach, the Dark Render"
	"DOTA_Sargeras_Gorshalach_Description"  "This the most powerful weapon in the universe. This massive greatsword was originally wielded by Sargeras while he was a member of the Titan Pantheon."
	"chw_minimap_chests"			"This map shows the places where every 10 minutes there are chests in a random location of the chests can drop various goodies."
	"BAN"		"BAN"
	"BAN_TEXT"	"You are denied access to Comics Heroes Wars. For help you can contact the team at Steam. Next time, behave correctly." 

	"report" "Report a player"
	"DOTA_HUD_Bloodhunt_Lable"	"To get unique blades on Deadpool, hold out all 9 waves and defeat the final boss!"
	"DOTA_HUD_Round"													"ROUND"
	"DOTA_HUD_EnemiesRemaining"											"ENEMIES REMAINING:"
	"DOTA_HUD_NextRound"												"NEXT ROUND: "
	"DOTA_HUD_RoundStart"												"ROUND START!"
	"DOTA_HUD_Victory"													"VICTORY!"
	"DOTA_HUD_Defeat"													"DEFEAT!"
	"DOTA_HUD_Bags"														"BAGS"
	"DOTA_HUD_NextRound"												"NEXT ROUND:"

	"DOTA_Holdout_Round_Kobolds_Title"				"Kobolds, Kobolds Everywhere!"
	"DOTA_Holdout_Round_Zombies_Title"				"We're Falling Apart Without You"
	"DOTA_Holdout_Round_Ogre_Title"					"A Way With Weight"
	"DOTA_Holdout_Round_Slithereen_Title"			"Smashed to Slithereens"
	"DOTA_Holdout_Round_Trees_Title"				"Forest is Living"
	"DOTA_Holdout_Round_Broodking_Title"			"Party Fowl!"
	"DOTA_Holdout_Round_Splitter_Title"				"Compound Interest"
	"DOTA_Holdout_Round_Roshan_Title"				"Burn Notice"
	"DOTA_Holdout_Round_BearForceOne_Title"			"BEAR FORCE ONE"
	"DOTA_Holdout_Round_Pudge_Title"				"Chin Choppa' Chin Choppa'!"
	"DOTA_Holdout_Round_Gyrocopter"					"Danger Zone"
	"DOTA_Holdout_Round_LichKings_Title"			"Frostmourne thirsts for blood!"
	"DOTA_Holdout_Round_Revenge_Title"				"Death in the eyes of a stranger..."

	"DOTA_Prestige_1"			"Legion"
	"DOTA_Prestige_2"			"Adeptus"
	"DOTA_Prestige_3"			"Void Dragon"
	"DOTA_Prestige_4"			"Winds of Winter"
	"DOTA_Prestige_5"			"Death Knight"
	"DOTA_Prestige_6"			"What Is Dead May Never Die"
	"DOTA_Prestige_7"			"Hearts of Stone"
	"DOTA_Prestige_8"			"Dracarys"
	"DOTA_Prestige_9"			"Elder"
	"DOTA_Prestige_10"			"Celestial"
	"DOTA_Prestige_11"			"Eternal"
	"DOTA_Prestige_20"			"Creator"
	"DOTA_Prestige_21"			"The Lord of Order"

	"pudge_arcana"						"Dark Apprentice Hood"
	"pudge_arcana_lore"					"Hood of pure evil"

	"tzeentch_chaos_crown"				"Chaos Crown"
	"tzeentch_chaos_crown_lore"			"The ancient crown, created by Tzeentch to make his magic unlimited"

	"daredevil_arcana"					"Jade Monk"
	"daredevil_arcana_lore"				""

	"ronan_weapon_shadowmorne"			"Shadowmorne"
	"ronan_weapon_shadowmorne_lore"		"An ancient weapon, created by Arthas to bring winter to whole world"

	"khan_blade_of_fate"				"Blades of Fate"
	"khan_blade_of_fate_lore"			""

	"corrupted_form"					"Corrupted Form"
	"corrupted_form_lore"				"Every act of killing or murder in the material universe gives Khorne power; the more senseless and destructive, the better."

	"atomic_samurai_frost_arcana"		"Frostmourne's Rage"
	"atomic_samurai_frost_arcana_lore"	"When Yurnero found splinters of a blade that is even older than his kind, he disdained and took it, thereby concluding himself into a terrible trap. Now he has only one pity - to swallow other people's souls."

	"arthas_prince"						"Lorderon's Prince"
	"arthas_prince_lore"				"Once, long ago, Arthas was a man, but he no longer remembers these times"

	"murlock_golden_helmet"				"Helmet of the Solar God"
	"murlock_golden_helmet_lore"		"When Murlock met Osiris himself, he did not at first believe, but still accepted his gift. Now on the battlefield Murloc leads the gift of the Sun God."

	"sargeras_elder_titan"				"Elder Titan Form"
	"sargeras_elder_titan_lore"			"Sargeras is the champion of the pantheon, the strongest of the Titans and their destruction."

	"reality_paradox"					"Reality Paradox"
	"reality_paradox_lore"				"Katana knew that it was impossible to cook Abaddon and paid for it. Now she's a ghost - stuck between the dimensions. Now her home is the Astral, the world of the dead."

	"speed_wraith"						"Speed Wraith"
	"speed_wraith_lore"					""

	"khornes_will_sword"				"Blades of Chaos God"
	"khornes_will_sword_lore"			"The blades, donated by Khorne himself, bear only fear and pain."

	"golden_chiken_courier"				"Platinum Baby Roshan"
	"golden_chiken_courier"				"He's just a little guy! He doesn't know any better."

	"byonder_arcana"					"Fragments of the Outworld"
	"byonder_arcana_lore"				"Somewhere far away, beyond the bounds of time and space, is his world, the External World. The Outer Rim."

	"axe_of_phractos"					"Axe of Phractos"
	"axe_of_phractos_lore"				""

	"alpine_hat"						"Alpine Hat"
	"alpine_hat_lore"					""

	"bolt_set"							"Phantom Pain"
	"bolt_set_lore"						""

	"loki_puppeteer"					"Meister of Manipulations"
	"loki_puppeteer_lore"				"Despite being a misfit of the Frost Giants and the Asgardians, Loki is still extremely powerful. Being a misshapen Frost Giant, Loki possesses some of the characteristics of his kind, including resistance to extreme cold and to his brethrens's frost powers. He also possesses superhuman physical abilities, as well as having incredible magical powers of illusion and transfiguration, as well as being surprisingly skilled in combat and a master strategist."

	"zeus_tempest_helmet"				"Tempest Helmet of ThunderGod"
	"zeus_tempest_helmet_lore"			"The helmet, forged by Celestials from the core of the star, is filled with the cosmic power of these beings, beyond the understanding of mortal."

	"galactus_absolute_nulifier"		"Axe of Nullifier"
	"galactus_absolute_nulifier_lore"	"When Galactus was in the void, he had a lot of time to create his own weapons"

	"thanos_timebreaker"				"Timebreaker"
	"thanos_timebreaker_lore"			"The enemy who controls time can not lose."


	"DOTA_Quest1"							"I am Galactus, devourer of worlds!"
	"DOTA_Quest2"							"Lightning ... I love lightning!"
	"DOTA_Quest3"							"I'm GOD, you stupid creature!"

	"DOTA_Quest1_Detail"					"Deal more than fifty thousand damage with Devastation's casting ability."
	"DOTA_Quest2_Detail"					"Inflict a million lightning damage! (For one game)"
	"DOTA_Quest3_Detail"					"In the game against Hulk, for Loki, steal his ultimate and kill Hulk himself."

	"DOTA_ranks_Header"			"Ranks."
	"DOTA_ranks_Text"			"Ranks objectively reflect your knowledge of the game. For five wins your Ranks rises, and for five consecutive defeats - goes down."
	"DOTA_prestiges_Text"		"Having reached the maximum available rank, you automatically switch to a new prestige title, which can not be lost in any way, but you also lose the main rank."
	"event2"							"Infinity War"
	"event2_lore"						"For the victory over the Thanos!"

	"event4"							"Earth Dephs"
	"event4_lore"						"For the victory over the Elemental of Fire"

	"premium"							"Premium"
	"premium_lore"						"For joining the elite club!"

	"developer"							"Developer"
	"developer_lore"					"Thank you!"

	"5yearcoin"							"Five Year"
	"5yearcoin_lore"					"For the length of service!"

	"bloodhunt"							"Bloodhunt"
	"bloodhunt_lore"					"For victory over evil spirits!"

	"event3"							"Season III"
	"event3_lore"						"For winning the tournament!"

	"DOTA_IW_Event_Name"				"The Avengers: Forever"
	"DOTA_IW_Event_Goal"				"Having acquired the Power Stone from the planet Xandar, Thanos and his lieutenants—Cull Obsidian, Proxima Midnight, and Corvus Glaive—intercept the spaceship carrying the survivors of Asgard's destruction. As they extract the Space Stone from the Tesseract, Thanos subdues Thor, overpowers Hulk, and kills Loki. Heimdall sends Hulk to Earth using the Bifröst before being killed. Thanos now id coming to Earth..."
	
	"DOTA_IW_Event_Timebreaker"			"The Ethereal Treasure"
	"DOTA_IW_Event_Timebreaker_Lore"	"I know what it's like to lose. To feel so desperately that you're right, yet to fail nonetheless. It's frightening, turns the legs to jelly. I ask you to what end? Dread it. Run from it. Destiny arrives all the same. And now it's here. Or should I say, I am."
	"DOTA_IW_Event_Lore_1"				"Save the Earth! "
	"DOTA_IW_Event_Lore_2"				"Hold out 15 minutes against hordes of evil spirits and defeat Thanos himself, that would receive a reward!"
	"DOTA_IW_Event_Lore_3"				"Lasting 15 waves, you will receive a chest, and killing a Thanos, get another one of the same."
	"DOTA_IW_Event_Lore_4"				"If you have a compendium, then victory over the meadows will bring you one level, and victory over the Thabos - two"

	"thanos_golden_timebreaker"			"Golden Timebreaker"
	"thanos_golden_timebreaker_lore"	"The enemy who controls time can not lose."

	"pudge_hood"						"Hood of Defiance"
	"pudge_hood_lore"					"Special item, which was given for winning the tournament"

	"spawn_arcana"						"Fractal Fragments of Inner Abysm"
	"spawn_arcana_lore"					"Once upon a long time ago, Spawn made a pact with the Harbinger, and received the powers of the Gods with whom he now carries Chaos on the battlefield."

	"thor_helmet"						"Helmet of Thor"
	"thor_helmet_lore"					"'Do not get lost anymore! Okay?'"

	"strange_chackra"					"Vessels of Chackra's Depths"
	"strange_chackra_lore"				"An artifact that takes magical energy directly from space."

	"DOTA_Tardes"						"Trades offers"

	"enigma_bracers"					"Mask of Eternity"
	"enigma_bracers_lore"				"What else Fundamental need to get to multiply his forces?"

	"saitama_cape"						"Ancient Cloak of Strength God"
	"saitama_cape_lore"					""

	"new_npc_dota_hero_jakiro"        	"Spawn"
	"new_npc_dota_hero_jakiro_hype"		"Spawn has an ability to feel, or sense or be cognizant of misery, pain and hatred as both a gift and punishment given to him by The Keeper, an agent of the Emerald Parliament of Greensworld. He is aware, even subconsciously when someone is attacked or murdered because he has gained a further affinity with the creatures of the night and shadows and through them experiences the anguish of all mankind."
	"npc_dota_hero_jakiro_hype"			"Spawn has an ability to feel, or sense or be cognizant of misery, pain and hatred as both a gift and punishment given to him by The Keeper, an agent of the Emerald Parliament of Greensworld. He is aware, even subconsciously when someone is attacked or murdered because he has gained a further affinity with the creatures of the night and shadows and through them experiences the anguish of all mankind."
	"DOTA_ItemsNote"					"Caution! Items can not be duplicated in inventory!"

	"beast_arcana"						"Elemental of Storm"
	"beast_arcana_lore"					"Absorbing the power of Phoenix, the Beast became invincible."

	"npc_dota_hero_queenofpain"			"Slaanesh"
	"new_npc_dota_hero_queenofpain"			"Slaanesh"

	"new_npc_dota_hero_queenofpain_hype"		""
	"npc_dota_hero_queenofpain_hype"			""

	"genuine" 			"<font color=\"#4D7455\">Genuine</font>"
	"default"			""
	"ascendant"			"<font color=\"#EB4B4B\">Ascendant</font>"
	"unusual"			"<font color=\"#8650AC\">Unusual</font>"
	"tournament"		"<font color=\"#8650AC\">Tournament</font>"
	"favored"			"<font color=\"#FFFF00\">Souvenir</font>"
	"legacy"			"<font color=\"#000000\">Legacy</font>"
	"brilliance"		"<font color=\"#F0FFFF\">Brilliance</font>"
	

	"unique"			"<font color=\"#70B04A\">Unique</font>"
	"strange"			"<font color=\"#CF6A32\">Inscribed</font>"
	"haunted"			"<font color=\"#8650AC\">Cursed</font>"
	"elder"				"<font color=\"#4682B4\">Elder</font>"
	"inscribed"			"<font color=\"#CF6A32\">Inscribed</font>"


	"rare"				"<font color=\"#4B69FF\">Rare</font>"
	"ethernal" 			"<font color=\"#476291\">Eternal</font>"
	"immortal"			"<font color=\"#E4AE33\">Immortal</font>"
	"arcana"			"<font color=\"#ADE55C\">Arcana</font>"
	"ancient"			"<font color=\"#EB4B4B\">Ancient</font>"
	"mythical"			"<font color=\"#8847FF\">Mythical</font>"
	"legendary"			"<font color=\"#D32CE6\">Legendary</font>"
	"extraordinary"		"<font color=\"#A50F79\">Extraordinary</font>"
	"custom"			"<font color=\"#fff34f\">Custom</font>"

	"rulk_mask"					"Outramp Mask"
	"rulk_mask_lore"			"Comfortable and stylish mask. Everyone would be glad to receive it."

	"ghost_cataclysm"			"Reality Cataclysm"
	"ghost_cataclysm_lore"		""

	"out_mask"					"Hazhadal Magebreaker"
	"out_mask_lore"				""

	"joker_armor"				"Heirlooms of Aeol Drias"
	"joker_armor_lore"			""

	"apocalypse_greatsword"			"The Greatsword"
	"apocalypse_greatsword_lore"    ""


	"scarlet_armor"						"Eternal Crusade Armor"
	"scarlet_armor_lore"				"Gold armor filled with the power of the Cosmos."

	"scarlet_weapon"					"The Warp Blades"
	"scarlet_weapon_lore"				""

	"treasure"							"Treasure of Red Mist"
	"treasure_lore"						"What did Axe prepare for us in this beautiful Treasure?"
	"bolt_arcana"						"Abysm Outworld Helmet"
	"bolt_arcana_lore"					"When the gates to Hell opened, Black Bolt did not fear and spoke against the forces of Nevermore, and won, becoming the Holy Demigod."

	"saitama_arcana"				"Blades of Ahm'omoz"
	"saitama_arcana_lore"			"Saitama did not believe in mysticism until he made a contract with the Man of Glass. Now, Saitama is no longer a man, but he is not dead either. Now, he is truly omnipotent."

	"contract"					"The Abyss Charm"
	"contract_lore"				"Thanks to this little gizmo, you can change items to one another."

	"treasure2"					"The Infinity Treasure"
	"treasure2_lore"			"Who would not open this chest - if he is worthy, then will possess the power of Zeus!"

	"thor_asgard_champion"		"Champion of Asgard"
	"thor_asgard_champion_lore"		"Thor, Son of Odin, the strongest of Asgardians, bears justice on the battlefield."

	"spectre_armor"				"Vessels of God"
	"spectre_armor_lore"		""

	"ronan_vanguard"			"Mist of Ancient Lands"
	"ronan_vanguard_lore"		"Forged when the Red Mist were many and Mogul Khan was but a lowly grunt, the Guard is a rock among a sea of blows. As much a statement of intent as a shield, the cursed sigil of Battle Hunger lays emblazoned upon its face. Only death and slaughter may remedy its hex."

	"ronan_armor_mail"			"The Blade Mail"
	"ronan_armor_mail_lore"		""

	"death_dress"				"Death Presence"
	"death_dress_lore"			"When she comes, it will be too late."

	"palpatine_shoulder"		"Emperor's Glory"
	"palpatine_shoulder_lore"	""

	"enigma_ancient"			"The Void's Bracers"
	"enigma_ancient_lore"		""

	"zeus_lighning"				"Olympus Mons"
	"zeus_lighning_lore"		"Even having received true strength, Zeus can not resist the cosmic essences like Eternity and Oblivion, but even so, he remains God."


	"treasure3"					"Jewel of Galactic Abysm"
	"treasure3_lore"			"The treasure created by the universe itself, containing the most sophisticated objects."

	"wolverine_claws"			"Daybreak Claws"
	"wolverine_claws_lore"		"Logan has found a weapon that can cut the fabric of reality. And why emu now these cheap adamantium claws?"

	"event5"					"The Avenger"
	"event5_lore"				"You have defended this world!"

	"golden_rulk_mask"			"Golden Outramp Mask"
	"golden_rulk_mask_lore"		"Souvenir item, received by the most lucky."

	"compendium1"				"Book of Fate"
	"compendium1_lore"			"Book of destinies, can bring a lot of treasures!"

	"compendium1_levels_25"		"Compendium 25-levels"
	"compendium1_levels_1"		"Compendium 1-level"
	"treasure4"					"Tear of Goddess"
	"treasure4_lore"			""
	"treasure5"					"Treasure of Avernus"
	"treasure6"					"The Fractal Abysm"

	"quality"					"Quality: "
	"type"						"Type: "
	"is_treasure"				"Treasure"
	"is_contract"				"Contract"
	"is_compendium"				"Compendium"
	"is_item"					"Cosmetic Item"
	"is_medal"					"<font color=\"#8650AC\">Unusual medal</font>"
	"is_music"					"<font color=\"#FFFF00\">Music pack</font>"

	"unreleased_treassure"		"Unreleased treasure"

	"treasure7"					"Trust of Benefactor"
	"treasure7_lore"			"Thanks for the Trust!"

	"music_kit_1"				"Necrovision"
	"music_kit_1_lore"			"This music pack was created by @TheMonster!"

	"unreleased_1"					"Treasure of Avernus"
	"unreleased_2"					"The Fractal Abysm"
	"unreleased_1_lore"			""
	"unreleased_2_lore"			""

	"darkseid_eternal_glory"			"The Frostmourne"
	"darkseid_eternal_glory_lore"			"Darkseid is among the most powerful beings of the DC Universe from the race known as New Gods. His main power, the Omega Beams, is a form of energy that he fires from his eyes or hands as either a concussive force or a disintegrating energy which is capable of erasing living objects and organisms from existence."

	"ghost_arcana"						"Rider of Ancient Mist"
	"ghost_arcana_lore"				"As a primal agent of Heaven, empowered by the Spirits of Vengeance, created by the power of God Himself ages past to enact vengeance upon the sinners of mankind, Johnny Blaze is one of the most powerful entities within the mortal and immortal realms. The common theme of the Ghost Rider is a human host who transforms into a flaming-headed skeleton with a vehicle and supernatural powers. When riding their vehicles, they can travel faster than conventional vehicles and can maneuver impossible feats such as riding straight up a vertical surface or across water."

	"quest1"					"From the Dephs"
	"quest1_lore"				"Kill Davy Jones 10 times"
	"quest1_reward"				"500"

	"quest2"					"Forest is Living"
	"quest2_lore"				"Deal more then 100000 damage as Groot"
	"quest2_reward"				"500"

	"quest3"					"Frostmourne thirsts for blood!"
	"quest3_lore"				"Use Cold Reaper on all 5 enemy heroes"
	"quest3_reward"				"1000"

	"quest4"					"For the Emperor!"
	"quest4_lore"				"As God-Emperor, kill any Chaos God 10 times"
	"quest4_reward"				"5000"

	"npc_dota_hero_monkey_king"			"Monkey King"
	"new_npc_dota_hero_monkey_king"		"Monkey King"


	"npc_dota_hero_monkey_king_hype"			"Sun Wukong, also known as the Monkey King, is a mythological figure who features in a body of legends, which can be traced back to the period of the Song dynasty. He appears as a main character in the 16th century Chinese classical novel Journey to the West. Sun Wukong is also found in many later stories and adaptations. In the novel, he is a monkey born from a stone who acquires supernatural powers through Taoist practices. After rebelling against heaven and being imprisoned under a mountain by the Buddha, he later accompanies the monk Xuanzang on a journey to retrieve Buddhist sutras from the West."
	"new_npc_dota_hero_monkey_king_hype"		"Sun Wukong, also known as the Monkey King, is a mythological figure who features in a body of legends, which can be traced back to the period of the Song dynasty. He appears as a main character in the 16th century Chinese classical novel Journey to the West. Sun Wukong is also found in many later stories and adaptations. In the novel, he is a monkey born from a stone who acquires supernatural powers through Taoist practices. After rebelling against heaven and being imprisoned under a mountain by the Buddha, he later accompanies the monk Xuanzang on a journey to retrieve Buddhist sutras from the West."

	"daredevil_avernus_staff"			"Staff of Avernus"
	"daredevil_avernus_staff_lore"		""

	"darkseid_ancient_cursed_helmet"			"Cursed Helmet"
	"darkseid_ancient_cursed_helmet_lore"		""

	"darkseid_golden_ancient_cursed_helmet"			"Golden Cursed Helmet"
	"darkseid_golden_ancient_cursed_helmet_lore"		""

	"darkseid_hand_of_god"					"Glove of Abstract Eternity"
	"darkseid_hand_of_god_lore"				"When Darkseid killed Antimonitor and received primordial strength, no one could stop him, even the Sentinel Specter himself."

	"monkey_king_hair_bronze_crown"			"Crown of Poseidon"
	"monkey_king_hair_bronze_crown_lore"	""

	"monkey_king_hair_bronze_staff"			"Poseidon's Staff"
	"monkey_king_hair_bronze_staff_lore"	""

